,reviews.text,Aspects
0,This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,"['product', 'child', 'love']"
1,great for beginner or experienced person. Bought as a gift and she loves it,"['beginner', 'experience', 'person']"
2,"Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...","['tablet', 'use', 'step']"
3,I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content as well as movies you can download and watch laterThis has a 1280/800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing $900 base model. The build on this fire is INSANELY AWESOME running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.,"['week', 'value', 'content']"
4,"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.","['age', 'daughter', 'storage']"
5,This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.,"['amazon', 'fire', 'inch']"
6,"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.","['e', 'read', 'weight']"
7,"I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!","['gift', 'inlaw', 'husband']"
8,"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!","['book', 'device', 'link']"
9,I love ordering books and reading them with the reader.,"['order', 'book', 'reader']"
10,Not easy for elderly users cease of ads that pop up.,"['user', 'cease', 'ad']"
11,"Excellent product. Easy to use, large screen makes watching movies and reading easier.","['product', 'use', 'screen']"
12,Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.,"['value', 'movie', 'play']"
13,Simply does everything I need. Thank youAnd silk works wonders,"['silk', 'work', 'wonder']"
14,Got it as a present and love the size of the screen,"['love', 'size', 'screen']"
15,"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.","['use', 'screen', 'color']"
16,nice reader. almost perfect for what i want/need. good bargain,"['reader', 'need', 'bargain']"
17,I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.,"['tablet', 'star', 'start']"
18,Great video quality lots of fun apps fun for the whole family,"['fun', 'video', 'quality']"
19,Love love love my kindle fire 8.....this is what my 9 yr old granddaughter said when I bought this for her at Christmas..we have purchased kindled in the past but this one has been the best....love the fact that you can now use a memory card in it...that helps so much when you use it for books...games...music and viedos...thanks,"['love', 'kindle', 'fire']"
20,"Excellent tablet with nice screen. I wish Amazon would pre install the play store, this would have been perfect.","['screen', 'play', 'store']"
21,"Preloaded with the reading app from Kindle but expandable with other apps. Perfect for travel. Carry your library, games and productivity apps in a small footprint.","['app', 'travel', 'library']"
22,"Very happy with this product and easy to use..picture is clear, takes great pictures..","['picture', 'product', 'use']"
23,"My grandchildren are home schooled and utilize the tables for many learning apps! They LOVE using them as it makes them feel ""so grown up""! The tablets are a great leaning tool and they are receiving many benefits from them!","['home', 'school', 'table']"
24,"Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use.","['size', 'travel', 'need']"
25,I purchased this when my last tablet died. It meets all basic needs and the price was great.,"['tablet', 'need', 'price']"
26,"Perfect for downloading and reading books !! Perfect size and has a nice, bright screen.","['download', 'read', 'book']"
27,I was surprised when I learned of the capabilities of this device. Now my husband has more access to his desktop and I am doing things which I couldn't on his device.,"['capability', 'device', 'husband']"
28,I got it for my son. Its user friendly and durable.,"['son', 'user']"
29,"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.","['quality', 'use']"
30,If your looking for a affordable gift this is it!.,['gift']
31,"This is a great tablet for the price, would recommend it to anyone looking for a basic tablet.","['tablet', 'price']"
32,Works great. Love the portability of books. Overall great product,"['love', 'portability', 'book']"
33,I am still learning all the things I can do with my new Kindle Fire. It is so much better (lighter in weight and easier to use) than my old tablet.,"['thing', 'weight', 'use']"
34,Just the right size for reading books and playing some games.,"['size', 'book', 'playing']"
